0,Mon Sep 14 23:09:06 EDT 2020,true,model/InterpolatingModel.java,methodAccessModifierUnmatched,isSafe:->boolean,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,util/MVCUtil.java,nameInDictionary,util.MVCUtil,util
0,Mon Sep 14 23:09:06 EDT 2020,true,util/MVCUtil.java,nameInDictionary,util.MVCUtil,mvc
0,Mon Sep 14 23:09:06 EDT 2020,true,util/MVCUtil.java,methodAccessModifierMatched,startSocialDistancingMVC:->void,public,[main.DerivingMain, main.BasicMain, main.InterpolatingMain],[public, public, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,tags,@BasicSocialDistanceUtility
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,util.SocialDistancingUtil,util
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,util.SocialDistancingUtil,social
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,util.SocialDistancingUtil,distancing
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,givenComb,given
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,givenComb,comb
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,interpolatedCombination,interpolated
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,interpolatedCombination,combination
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,distance,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,duration,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,exhalationLevel,exhalation
